time,ura3,trmb
36.78,2.50954815175,2.50954815175
38.8,3.14891596297,3.14891596297
40.82,3.56705742306,3.24190391452
42.84,4.04072347716,3.34723964311
44.86,4.57728718161,3.44660329304
46.88,5.18510065355,3.55916134461
48.9,5.87362507969,3.68666586844
50.92,6.65357798863,3.8311015932
52.94,7.53710007864,3.99471680013
54.96,8.53794420002,4.18005830841
56.98,9.67168942945,4.39001112911
59.0,10.9559835752,4.62784337756
61.02,12.4108178803,4.89725713853
63.04,14.0588382044,5.20244608911
65.06,15.9256975298,5.54816077945
67.08,18.0404552723,5.93978258653
69.1,20.4360296196,6.38340746755
71.12,23.1497099332,6.88594085879
73.14,26.2237371919,7.45520516563
75.16,29.705961513,8.10006152136
77.18,33.6505869838,8.83054772027
79.2,38.1190153988,9.65803446505
81.22,43.180802037,10.5954023602
83.24,48.9147383539,11.6572424196
85.26,55.4100784464,12.8600831777
87.28,62.7679283741,14.222647982
89.3,71.1028199714,15.7661464285
91.32,80.5444936426,17.5146045173
93.34,91.239917893,19.4952386379
95.36,103.355577031,21.7388792201
97.38,117.080062654,24.2804506306
99.4,132.627009251,27.1595148148
101.42,150.238419625,30.4208871071
103.44,159.611359228,32.1566166643
105.46,167.661135071,33.6473158967
107.48,176.11689011,35.2131964604
109.5,184.999099337,36.8580500224
111.52,193.693990072,38.468214975
113.54,193.693990072,38.468214975
115.56,193.693990072,38.468214975
117.58,193.693990072,38.468214975
119.6,193.693990072,38.468214975
121.62,193.693990072,38.468214975
123.64,193.693990072,38.468214975
125.66,193.693990072,38.468214975
127.68,193.693990072,38.468214975
129.7,193.693990072,38.468214975
131.72,193.693990072,38.468214975
133.74,193.693990072,38.468214975
135.76,193.693990072,38.468214975
137.78,193.693990072,38.468214975
139.8,193.693990072,38.468214975
141.82,193.693990072,38.468214975
