TARGETS
VNG0009G
VNG0064G
VNG0095G
VNG0154G
VNG0156C
VNG0161G
VNG0162G
VNG0324G
VNG0330G
VNG0442G
VNG0473G
VNG0474G
VNG0628G
VNG0683C
VNG0684G
VNG0771G
VNG0841G
VNG0937G
VNG1125G
VNG1128G
VNG1204G
VNG1216G
VNG1306G
VNG1308G
VNG1309G
VNG1310G
VNG1541G
VNG1542G
VNG1624G
VNG1684G
VNG1887G
VNG1967G
VNG0277G
VNG0468C
VNG0475C  
VNG0647G
VNG0657G
VNG0920H
VNG1615G
VNG1755G
VNG0632G
VNG0633G
VNG0874G
VNG0876G
VNG1408G
VNG1939G
VNG1945G
VNG2003G
VNG0104G
VNG0382G
VNG0384G
VNG0386G
VNG0403G
VNG0541G
VNG0867G
VNG1232G
VNG1230G
VNG2422G
VNG2423G
VNG2504G
VNG2505G
VNG0715G
VNG1081G
VNG1083G
VNG1551G
VNG1553G
VNG1554G
VNG1555G
VNG1557G
VNG1565G
VNG1566G
VNG1574G
VNG1576G
VNG1686G
VNG1775C
VNG1774G
VNG0247C
VNG0878G
VNG1179C
VNG1451C
VNG0218G
VNG0297H
VNG0303G
VNG0309C
VNG0335G
VNG0355G
VNG0521G
VNG0838G
VNG0901G
VNG0938G
VNG1372C
VNG1543G
VNG1676G
VNG1707G
VNG1735C
VNG1834G
VNG2123G
VNG2365G
VNG2381G
VNG2416G
VNG2594C
VNG2595G
VNG2616G
VNG2617G
VNG0011C
VNG0199H
VNG0231C
VNG0578H
VNG0692C
VNG0725H
VNG0759H
VNG0768H
VNG0819C
VNG0847H
VNG0868H
VNG1007H
VNG1069C
VNG1193C
VNG1343C
VNG1360H
VNG1362H 
VNG1376H
VNG1409C
VNG1423H
VNG1448H 
VNG1533H
VNG1674H 
VNG1890H
VNG1894C
VNG2067H
VNG2455C
VNG2493C
VNG2511H 
VNG2518C 
VNG2637H
