id	flux
R00396    	-9.999394e+03
R03869    	0
R00782    	0
R02742    	0
R02340    	6.547975e-04
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	3.834556e-07
R05814    	3.834556e-07
R00375    	0
R05811    	3.834556e-07
R05810    	3.834556e-07
R05813    	3.834556e-07
R05812    	3.834556e-07
R00751    	1.938653e-02
R02372    	0
R05617    	2.089335e-07
R01899    	0
R05612    	2.089335e-07
R05613    	2.089335e-07
R00369    	0
R05611    	2.089335e-07
R00362    	-1.979315e-02
R02765    	-4.604940e-02
R00762    	8.180851e-03
R05809    	3.834556e-07
R05808    	3.834556e-07
R00768    	7.090307e-05
R05807    	3.834556e-07
R00771    	-8.109948e-03
R00354    	0
R00355    	9.999454e+03
R02771    	0
R00357    	0
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	0
R01878    	0
R03084    	6.550064e-04
R00086    	4.224632e+00
R00084    	1.046193e-06
R01870    	-2.686847e-03
R01665    	0
R01664    	0
R01867    	2.686847e-03
R01863    	7.678488e-27
R02100    	0
R02331    	0
R02332    	0
R02719    	0
R01655    	7.223231e-03
R01658    	1.066710e-03
R01857    	1.218900e-25
R01858    	0
R02328    	0
R01859    	4.604940e-02
R02327    	0
R02329    	0
R00999    	0
R02519    	8.132029e-03
R02326    	-3.029620e-25
R02325    	0
R00996    	0
R10005    	0
R10004    	0
R10003    	2.089335e-07
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	8.132029e-03
R02313    	6.496943e-03
R04509    	0
R00303    	7.946871e-03
R03045    	0
R03038    	0
R00586    	4.108373e-04
R03243    	1.692570e-03
R00585    	0
R03245    	4.267675e-03
R01168    	0
R06447    	0
R00582    	0
R03035    	1.542138e-06
R03027    	-6.496943e-03
R00578    	1.265092e-03
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	1.529631e-19
R03067    	0
R00570    	3.052836e-25
R00571    	1.827056e-03
R00573    	0
R01698    	9.233328e-02
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	0
R04799    	0
R06613    	2.962885e-05
R02568    	0
R03815    	0
R00552    	0
R02571    	-6.496943e-03
R01196    	1.625823e-01
R01197    	-4.043467e-01
R01199    	7.867335e-03
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	7.734717e-07
R00351    	3.567856e-01
R00548    	0
R03823    	0
R03269    	1.542138e-06
R00332    	1.828597e-03
R03425    	0
R00342    	4.666143e-01
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	1.692570e-03
R03458    	1.156927e-06
R03459    	1.156927e-06
R03660    	0
R03659    	0
R03658    	0
R00529    	4.108373e-04
R03460    	6.550064e-04
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	4.459378e-03
R03018    	1.542138e-06
R03013    	1.692570e-03
R03012    	1.692570e-03
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	5.332504e-04
R03857    	0
R00512    	0
R03005    	1.730596e-06
R00513    	0
R04463    	2.766424e-03
R04859    	4.108373e-04
R03346    	0
R03348    	1.730596e-06
R04457    	2.313854e-06
R00908    	0
R00502    	0
R01220    	7.223231e-03
R01221    	-1.391500e-02
R00509    	4.108373e-04
R01214    	2.920167e-03
R01230    	1.828213e-03
R01231    	0
R01229    	0
R01228    	3.071395e-26
R01227    	0
R01226    	1.542138e-06
R00104    	8.160941e-07
R03102    	6.496943e-03
R01446    	0
R90000    	1.239080e+00
R01253    	-1.031789e-02
R90003    	4.073805e+00
R90004    	5.747963e-01
R90001    	2.356576e+00
R90002    	1.178288e+00
R90005    	0
R04224    	2.918625e-03
R04225    	3.526344e-02
R04233    	0
R04231    	0
R03314    	-1.031789e-02
R04230    	1.542138e-06
R90021    	0
R90022    	0
R90020    	0
R05341    	0
R01466    	0
R01465    	3.834556e-07
R90029    	0
R90027    	0
R90028    	0
R90025    	0
R90026    	0
R90023    	0
R90024    	0
R04095    	4.765427e-02
R04203    	3.526344e-02
R04097    	4.765427e-02
R01286    	0
R90010    	0
R01288    	0
R01287    	0
R90011    	0
R90016    	0
R90017    	0
R90018    	0
R01280    	0
R90019    	0
R04204    	3.526344e-02
R90012    	0
R90013    	0
R90014    	0
R04209    	-2.766424e-03
R04208    	2.766424e-03
R90015    	0
R04212    	0
R01279    	0
R02022    	-6.296210e-05
R00158    	2.686847e-03
R02023    	0
R00156    	2.820295e-03
R02024    	0
R02971    	0
R00985    	6.547975e-04
R02020    	-6.296210e-05
R02021    	4.108373e-04
R00986    	0
R01015    	9.370839e-03
R90046    	7.635986e-03
R00705    	0
R90045    	5.084928e-02
R90048    	6.095747e-03
R00704    	0
R00703    	0
R90047    	2.221336e-02
R90049    	1.068285e-02
R00708    	0
R05595    	0
R00707    	0
R00161    	7.734717e-07
R02019    	0
R90040    	7.960730e-03
R00160    	0
R90042    	0
R00702    	0
R02016    	1.006856e-03
R90041    	6.214828e-03
R02018    	2.962885e-05
R90044    	2.635614e-02
R02017    	0
R90043    	3.699675e-02
R00970    	0
R90037    	0
R90036    	2.929820e-02
R90035    	7.170016e-02
R01010    	5.332504e-04
R90039    	-3.031369e-26
R90038    	3.507715e-28
R90033    	8.507931e-03
R90032    	3.935498e-03
R00177    	4.602052e-06
R90031    	0
R90030    	0
R00965    	2.686847e-03
R00966    	0
R00963    	0
R00964    	0
R00962    	0
R05180    	0
R05181    	0
R00969    	0
R01036    	0
R01039    	-9.999999e+03
R00967    	0
R00968    	0
R90068    	0
R90067    	0
R05578    	8.369540e-06
R05577    	0
R90069    	2.688974e-03
R90064    	5.332504e-04
R00188    	4.108373e-04
R90063    	-9.370367e-02
R90066    	6.361532e-02
R90065    	0
R90060    	5.426997e-01
R00183    	0
R90062    	0
R90061    	0
R05177    	0
R01818    	0
R00189    	1.730596e-06
R02058    	7.090307e-05
R00959    	-1.630767e-04
R01034    	10000
R00190    	3.165396e-25
R90059    	3.834556e-07
R90058    	0
R90057    	2.290688e-06
R90056    	3.975795e-06
R90055    	5.668228e-04
R90054    	5.592694e-03
R00199    	0
R90053    	0
R90052    	0
R90050    	6.627369e-07
R00192    	4.602052e-06
ER00023   	3.935498e-03
R04030    	2.089335e-07
ER00024   	-8.173120e-01
R02061    	1.066710e-03
ER00025   	-9.996474e+03
R00945    	-6.659267e-03
ER00020   	0
ER00021   	3.699675e-02
ER00022   	6.627369e-07
R04037    	1.692570e-03
R04035    	1.692570e-03
ER00027   	-1.132297e+00
R02063    	0
R02257    	0
ER00028   	1.195691e+00
R00943    	3.470782e-06
R02065    	0
R04031    	-2.089335e-07
R90091    	0
R90081    	0
R90082    	0
R00742    	0
R90083    	0
R90084    	0
R90085    	0
R00121    	-2.054186e-04
R90086    	0
R90087    	0
R90088    	0
R90089    	0
R05553    	0
R05555    	0
ER00014   	0
R00935    	2.918625e-03
ER00015   	1.312073e-02
ER00012   	0
R05150    	0
ER00013   	2.929820e-02
ER00010   	1.068285e-02
R00939    	3.975795e-06
ER00011   	2.635614e-02
R00124    	-10000
R90080    	0
ER00018   	5.592694e-03
R00127    	3.419040e-02
ER00019   	0
ER00016   	2.221336e-02
ER00017   	7.170016e-02
R90072    	1.195691e+00
R90073    	0
R90070    	-8.173120e-01
R90071    	-1.132297e+00
R00130    	1.542138e-06
R90076    	0
R90077    	0
R90074    	-2.250779e-01
R00734    	3.332934e-03
R90075    	0
R02272    	8.369540e-06
R90078    	0
R90079    	0
R00927    	3.526344e-02
ER00000   	0
ER00001   	5.668228e-04
R00926    	0
ER00002   	7.635986e-03
R00924    	0
ER00003   	0
R02082    	4.267675e-03
ER00004   	0
R02003    	1.066710e-03
R02085    	-4.765427e-02
ER00005   	6.095747e-03
ER00006   	5.084928e-02
R05145    	0
ER00007   	8.507931e-03
R00138    	0
ER00008   	6.214828e-03
ER00009   	7.960730e-03
R00137    	0
R02088    	0
R05149    	0
R02984    	0
R00722    	0
R02285    	0
R02288    	0
R01001    	0
R02094    	2.962885e-05
R02014    	-2.962885e-05
R02093    	2.962885e-05
R02091    	0
R02098    	-2.962885e-05
R00149    	5.375820e-03
R02097    	0
R02096    	0
R04800    	0
R04292    	1.730596e-06
R02099    	0
R00710    	0
R90098    	0
R90099    	0
R00711    	1.938691e-02
R90097    	0
R00713    	0
R90094    	0
R90095    	0
R90092    	6.550064e-04
R00150    	0
R02297    	0
R90093    	0
R00714    	0
R02291    	6.504043e-04
R02292    	0
R00716    	6.496943e-03
R01737    	7.805066e-03
R01731    	0
R01734    	-3.834556e-07
R01736    	0
R00489    	1.542138e-06
R02487    	6.496943e-03
R01728    	4.799095e-03
R02485    	0
R00885    	0
R00481    	1.730596e-06
