id	flux
R00396    	-9.999003e+03
R03869    	0
R00782    	0
R02742    	0
R02340    	1.078209e-03
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	6.314096e-07
R05814    	6.314096e-07
R00375    	0
R05811    	6.314096e-07
R05810    	6.314096e-07
R05813    	6.314096e-07
R05812    	6.314096e-07
R00751    	3.192245e-02
R02372    	0
R05617    	3.440362e-07
R01899    	0
R05612    	3.440362e-07
R05613    	3.440362e-07
R00369    	0
R05611    	3.440362e-07
R00362    	-3.259200e-02
R02765    	-7.582633e-02
R00762    	1.347084e-02
R05809    	6.314096e-07
R05808    	6.314096e-07
R00768    	1.167512e-04
R05807    	6.314096e-07
R00771    	-1.335409e-02
R00354    	0
R00355    	9.999101e+03
R02771    	0
R00357    	0
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	-1.398402e-25
R01878    	0
R03084    	1.078553e-03
R00086    	6.956407e+00
R00084    	1.722692e-06
R01870    	-4.424243e-03
R01665    	0
R01664    	0
R01867    	4.424243e-03
R01863    	-1.151773e-26
R02100    	0
R02331    	0
R02332    	0
R02719    	0
R01655    	1.189399e-02
R01658    	1.756477e-03
R01857    	-4.410090e-26
R01858    	0
R02328    	0
R01859    	7.582633e-02
R02327    	0
R02329    	0
R00999    	0
R02519    	1.339045e-02
R02326    	9.934627e-25
R02325    	0
R00996    	0
R10005    	0
R10004    	0
R10003    	3.440362e-07
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	1.339045e-02
R02313    	1.069806e-02
R04509    	0
R00303    	1.308556e-02
R03045    	0
R03038    	0
R00586    	6.764971e-04
R03243    	2.787037e-03
R00585    	0
R03245    	7.027283e-03
R01168    	0
R06447    	0
R00582    	0
R03035    	2.539331e-06
R03027    	-1.069806e-02
R00578    	2.083139e-03
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	4.980730e-19
R03067    	0
R00570    	-9.947442e-25
R00571    	3.008486e-03
R00573    	0
R01698    	1.520388e-01
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	0
R04799    	0
R06613    	4.878777e-05
R02568    	0
R03815    	0
R00552    	0
R02571    	-1.069806e-02
R01196    	2.677130e-01
R01197    	-6.658095e-01
R01199    	1.295459e-02
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	1.273622e-06
R00351    	5.874940e-01
R00548    	0
R03823    	0
R03269    	2.539331e-06
R00332    	3.011023e-03
R03425    	0
R00342    	7.683412e-01
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	2.787037e-03
R03458    	1.905032e-06
R03459    	1.905032e-06
R03660    	0
R03659    	0
R03658    	0
R00529    	6.764971e-04
R03460    	1.078553e-03
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	7.342947e-03
R03018    	2.539331e-06
R03013    	2.787037e-03
R03012    	2.787037e-03
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	8.780663e-04
R03857    	0
R00512    	0
R03005    	2.849652e-06
R00513    	0
R04463    	4.555278e-03
R04859    	6.764971e-04
R03346    	0
R03348    	2.849652e-06
R04457    	3.810063e-06
R00908    	0
R00502    	0
R01220    	1.189399e-02
R01221    	-2.291286e-02
R00509    	6.764971e-04
R01214    	4.808436e-03
R01230    	3.010391e-03
R01231    	0
R01229    	0
R01228    	-3.762459e-25
R01227    	0
R01226    	2.539331e-06
R00104    	1.343805e-06
R03102    	1.069806e-02
R01446    	0
R90000    	2.040307e+00
R01253    	-1.698974e-02
R90003    	6.708051e+00
R90004    	9.464770e-01
R90001    	3.880410e+00
R90002    	1.940205e+00
R90005    	0
R04224    	4.805897e-03
R04225    	5.806584e-02
R04233    	0
R04231    	0
R03314    	-1.698974e-02
R04230    	2.539331e-06
R90021    	0
R90022    	0
R90020    	0
R05341    	0
R01466    	0
R01465    	6.314096e-07
R90029    	0
