id	flux
R00396    	4.319415e-02
R03869    	0
R00782    	0
R02742    	0
R02340    	1.466623e-04
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	8.588685e-08
R05814    	8.588685e-08
R00375    	0
R05811    	8.588685e-08
R05810    	8.588685e-08
R05813    	8.588685e-08
R05812    	8.588685e-08
R00751    	4.342218e-03
R02372    	0
R05617    	4.679717e-08
R01899    	0
R05612    	4.679717e-08
R05613    	4.679717e-08
R00369    	0
R05611    	4.679717e-08
R00362    	-4.433293e-03
R02765    	-1.031420e-02
R00762    	1.832357e-03
R05809    	8.588685e-08
R05808    	8.588685e-08
R00768    	1.588096e-05
R05807    	8.588685e-08
R00771    	-1.816476e-03
R00354    	0
R00355    	-2.979832e-02
R02771    	0
R00357    	0
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	0
R01878    	0
R03084    	1.467091e-04
R00086    	9.462382e-01
R00084    	2.343275e-07
R01870    	-6.018032e-04
R01665    	0
R01664    	0
R01867    	6.018032e-04
R01863    	0
R02100    	0
R02331    	9.151513e-28
R02332    	0
R02719    	0
R01655    	1.617868e-03
R01658    	2.389230e-04
R01857    	0
R01858    	0
R02328    	0
R01859    	1.031420e-02
R02327    	0
R02329    	0
R00999    	0
R02519    	1.821422e-03
R02326    	0
R02325    	0
R00996    	0
R10005    	6.954297e-28
R10004    	0
R10003    	4.679717e-08
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	1.821422e-03
R02313    	1.455193e-03
R04509    	0
R00303    	1.779950e-03
R03045    	0
R03038    	0
R00586    	9.201984e-05
R03243    	3.791039e-04
R00585    	0
R03245    	9.558791e-04
R01168    	0
R06447    	0
R00582    	0
R03035    	3.454099e-07
R03027    	-1.455193e-03
R00578    	2.833569e-04
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	0
R03067    	0
R00570    	0
R00571    	4.092263e-04
R00573    	0
R01698    	2.068092e-02
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	6.954297e-28
R04799    	0
R06613    	6.636307e-06
R02568    	0
R03815    	0
R00552    	0
R02571    	-1.455193e-03
R01196    	3.641538e-02
R01197    	-9.056607e-02
R01199    	1.762135e-03
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	1.732431e-07
R00351    	7.991328e-02
R00548    	0
R03823    	0
R03269    	3.454099e-07
R00332    	4.095713e-04
R03425    	0
R00342    	1.045128e-01
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	3.791039e-04
R03458    	2.591300e-07
R03459    	2.591300e-07
R03660    	0
R03659    	0
R03658    	0
R00529    	9.201984e-05
R03460    	1.467091e-04
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	9.988169e-04
R03018    	3.454099e-07
R03013    	3.791039e-04
R03012    	3.791039e-04
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	1.194381e-04
R03857    	0
R00512    	0
R03005    	3.876213e-07
R00513    	0
R04463    	6.196271e-04
R04859    	9.201984e-05
R03346    	0
R03348    	3.876213e-07
R04457    	5.182600e-07
R00908    	0
R00502    	0
R01220    	1.617868e-03
R01221    	-3.116698e-03
R00509    	9.201984e-05
R01214    	6.540627e-04
R01230    	4.094854e-04
R01231    	0
R01229    	0
R01228    	0
R01227    	0
R01226    	3.454099e-07
R00104    	1.827901e-07
R03102    	1.455193e-03
R01446    	0
R90000    	2.775307e-01
R01253    	-2.311013e-03
R90003    	9.124559e-01
R90004    	1.287436e-01
