id	flux
R00396    	-9.997893e+03
R03869    	0
R00782    	0
R02742    	0
R02340    	2.278229e-03
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	1.334152e-06
R05814    	1.334152e-06
R00375    	0
R05811    	1.334152e-06
R05810    	1.334152e-06
R05813    	1.334152e-06
R05812    	1.334152e-06
R00751    	6.745130e-02
R02372    	0
R05617    	7.269395e-07
R01899    	0
R05612    	7.269395e-07
R05613    	7.269395e-07
R00369    	0
R05611    	7.269395e-07
R00362    	-6.886604e-02
R02765    	-1.602191e-01
R00762    	2.846353e-02
R05809    	1.334152e-06
R05808    	1.334152e-06
R00768    	2.466922e-04
R05807    	1.334152e-06
R00771    	-2.821684e-02
R00354    	0
R00355    	9.998101e+03
R02771    	0
R00357    	0
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	-4.237582e-26
R01878    	0
R03084    	2.278955e-03
R00086    	1.469871e+01
R00084    	3.640004e-06
R01870    	-9.348312e-03
R01665    	0
R01664    	0
R01867    	9.348312e-03
R01863    	-3.839244e-27
R02100    	0
R02331    	0
R02332    	0
R02719    	0
R01655    	2.513170e-02
R01658    	3.711390e-03
R01857    	-2.229545e-25
R01858    	0
R02328    	0
R01859    	1.602191e-01
R02327    	0
R02329    	0
R00999    	0
R02519    	2.829367e-02
R02326    	6.412695e-25
R02325    	0
R00996    	0
R10005    	0
R10004    	0
R10003    	7.269395e-07
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	2.829367e-02
R02313    	2.260473e-02
R04509    	0
R00303    	2.764945e-02
R03045    	0
R03038    	0
R00586    	1.429421e-03
R03243    	5.888937e-03
R00585    	0
R03245    	1.484847e-02
R01168    	0
R06447    	0
R00582    	0
R03035    	5.365541e-06
R03027    	-2.260473e-02
R00578    	4.401619e-03
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	1.560896e-18
R03067    	0
R00570    	-6.414385e-25
R00571    	6.356854e-03
R00573    	0
R01698    	3.212540e-01
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	0
R04799    	0
R06613    	1.030873e-04
R02568    	0
R03815    	0
R00552    	0
R02571    	-2.260473e-02
R01196    	5.656705e-01
R01197    	-1.406838e+00
R01199    	2.737272e-02
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	2.691130e-06
R00351    	1.241360e+00
R00548    	0
R03823    	0
R03269    	5.365541e-06
R00332    	6.362213e-03
R03425    	0
R00342    	1.623485e+00
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	5.888937e-03
R03458    	4.025282e-06
R03459    	4.025282e-06
R03660    	0
R03659    	0
R03658    	0
R00529    	1.429421e-03
R03460    	2.278955e-03
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	1.551546e-02
R03018    	5.365541e-06
R03013    	5.888937e-03
R03012    	5.888937e-03
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	1.855331e-03
R03857    	0
R00512    	0
R03005    	6.021240e-06
R00513    	0
R04463    	9.625185e-03
R04859    	1.429421e-03
R03346    	0
R03348    	6.021240e-06
R04457    	8.050565e-06
R00908    	0
R00502    	0
R01220    	2.513170e-02
R01221    	-4.841427e-02
R00509    	1.429421e-03
R01214    	1.016010e-02
R01230    	6.360879e-03
R01231    	0
R01229    	0
R01228    	-3.263357e-25
R01227    	0
R01226    	5.365541e-06
R00104    	2.839426e-06
R03102    	2.260473e-02
R01446    	0
R90000    	4.311115e+00
R01253    	-3.589889e-02
R90003    	1.417394e+01
R90004    	1.999882e+00
R90001    	8.199206e+00
R90002    	4.099603e+00
R90005    	0
R04224    	1.015474e-02
R04225    	1.226916e-01
R04233    	0
R04231    	0
R03314    	-3.589889e-02
R04230    	5.365541e-06
R90021    	0
R90022    	0
R90020    	0
R05341    	0
R01466    	0
R01465    	1.334152e-06
R90029    	0
R90027    	0
R90028    	0
R90025    	0
R90026    	0
R90023    	0
R90024    	0
R04095    	1.658029e-01
R04203    	1.226916e-01
R04097    	1.658029e-01
R01286    	0
R90010    	0
R01288    	0
R01287    	0
R90011    	0
R90016    	0
R90017    	0
R90018    	0
R01280    	0
R90019    	0
R04204    	1.226916e-01
R90012    	0
R90013    	0
R90014    	0
R04209    	-9.625185e-03
R04208    	9.625185e-03
R90015    	0
R04212    	0
R01279    	0
R02022    	-2.190632e-04
R00158    	9.348312e-03
R02023    	0
R00156    	9.812615e-03
R02024    	0
R02971    	0
R00985    	2.278229e-03
R02020    	-2.190632e-04
R02021    	1.429421e-03
R00986    	0
R01015    	3.260384e-02
R90046    	2.656779e-02
R00705    	0
R90045    	1.769193e-01
R90048    	2.120886e-02
R00704    	0
R00703    	0
R90047    	7.728667e-02
R90049    	3.716872e-02
R00708    	0
