id	flux
R00396    	-9.999920e+03
R03869    	0
R00782    	0
R02742    	0
R02340    	8.906816e-05
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	5.215916e-08
R05814    	5.215916e-08
R00375    	0
R05811    	5.215916e-08
R05810    	5.215916e-08
R05813    	5.215916e-08
R05812    	5.215916e-08
R00751    	2.637033e-03
R02372    	0
R05617    	2.841996e-08
R01899    	0
R05612    	2.841996e-08
R05613    	2.841996e-08
R00369    	0
R05611    	2.841996e-08
R00362    	-2.692343e-03
R02765    	-6.263823e-03
R00762    	1.112792e-03
R05809    	5.215916e-08
R05808    	5.215916e-08
R00768    	9.644519e-06
R05807    	5.215916e-08
R00771    	-1.103148e-03
R00354    	0
R00355    	9.999928e+03
R02771    	0
R00357    	0
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	0
R01878    	0
R03084    	8.909658e-05
R00086    	5.746513e-01
R00084    	1.423073e-07
R01870    	-3.654756e-04
R01665    	0
R01664    	0
R01867    	3.654756e-04
R01863    	0
R02100    	0
R02331    	0
R02332    	0
R02719    	0
R01655    	9.825327e-04
R01658    	1.450981e-04
R01857    	0
R01858    	0
R02328    	0
R01859    	6.263823e-03
R02327    	0
R02329    	0
R00999    	0
R02519    	1.106151e-03
R02326    	0
R02325    	0
R00996    	0
R10005    	0
R10004    	0
R10003    	2.841996e-08
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	1.106151e-03
R02313    	8.837401e-04
R04509    	0
R00303    	1.080965e-03
R03045    	0
R03038    	0
R00586    	5.588373e-05
R03243    	2.302301e-04
R00585    	0
R03245    	5.805062e-04
R01168    	0
R06447    	0
R00582    	0
R03035    	2.097677e-07
R03027    	-8.837401e-04
R00578    	1.720829e-04
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	0
R03067    	0
R00570    	0
R00571    	2.485235e-04
R00573    	0
R01698    	1.255954e-02
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	0
R04799    	0
R06613    	4.030235e-06
R02568    	0
R03815    	0
R00552    	0
R02571    	-8.837401e-04
R01196    	2.211509e-02
R01197    	-5.500085e-02
R01199    	1.070146e-03
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	1.052107e-07
R00351    	4.853140e-02
R00548    	0
R03823    	0
R03269    	2.097677e-07
R00332    	2.487330e-04
R03425    	0
R00342    	6.347074e-02
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	2.302301e-04
R03458    	1.573699e-07
R03459    	1.573699e-07
R03660    	0
R03659    	0
R03658    	0
R00529    	5.588373e-05
R03460    	8.909658e-05
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	6.065823e-04
R03018    	2.097677e-07
R03013    	2.302301e-04
R03012    	2.302301e-04
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	7.253485e-05
R03857    	0
R00512    	0
R03005    	2.354026e-07
R00513    	0
R04463    	3.763001e-04
R04859    	5.588373e-05
R03346    	0
R03348    	2.354026e-07
R04457    	3.147397e-07
R00908    	0
