id	flux
R00396    	-2.928035e-03
R03869    	0
R00782    	0
R02742    	0
R02340    	9.581543e-05
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	5.611042e-08
R05814    	5.611042e-08
R00375    	0
R05811    	5.611042e-08
R05810    	5.611042e-08
R05813    	5.611042e-08
R05812    	5.611042e-08
R00751    	-5.611042e-08
R02372    	0
R05617    	3.057289e-08
R01899    	0
R05612    	3.057289e-08
R05613    	3.057289e-08
R00369    	0
R05611    	3.057289e-08
R00362    	-5.944373e-05
R02765    	-4.403677e-03
R00762    	1.197090e-03
R05809    	5.611042e-08
R05808    	5.611042e-08
R00768    	1.037513e-05
R05807    	5.611042e-08
R00771    	-1.186715e-03
R00354    	0
R00355    	-3.076456e-02
R02771    	0
R00357    	3.706577e-02
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	0
R01878    	0
R03084    	9.584601e-05
R00086    	3.221990e-01
R00084    	1.530876e-07
R01870    	-3.931619e-04
R01665    	0
R01664    	0
R01867    	3.931619e-04
R01863    	-7.390867e-26
R02100    	0
R02331    	-4.335541e-06
R02332    	0
R02719    	0
R01655    	1.056964e-03
R01658    	1.560899e-04
R01857    	0
R01858    	0
R02328    	0
R01859    	4.403677e-03
R02327    	0
R02329    	0
R00999    	0
R02519    	4.787986e-04
R02326    	0
R02325    	0
R00996    	1.280552e-03
R10005    	0
R10004    	0
R10003    	3.057289e-08
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	4.787986e-04
R02313    	3.929456e-04
R04509    	0
R00303    	1.162853e-03
R03045    	0
R03038    	0
R00586    	6.011714e-05
R03243    	2.476710e-04
R00585    	0
R03245    	6.244818e-04
R01168    	0
R06447    	0
R00582    	0
R03035    	2.256585e-07
R03027    	-3.929456e-04
R00578    	1.851188e-04
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	0
R03067    	-2.818256e-31
R00570    	0
R00571    	2.673501e-04
R00573    	0
R01698    	6.371526e-03
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	0
R04799    	0
R06613    	4.335541e-06
R02568    	0
R03815    	0
R00552    	2.016065e-01
R02571    	-3.929456e-04
R01196    	8.468302e-03
R01197    	-2.221892e-02
R01199    	1.835687e-03
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	1.131808e-07
R00351    	2.106818e-02
R00548    	0
R03823    	0
R03269    	2.256585e-07
R00332    	2.675755e-04
R03425    	0
R00342    	2.789116e-02
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	2.476710e-04
R03458    	1.692913e-07
R03459    	1.692913e-07
R03660    	0
R03659    	0
R03658    	0
R00529    	6.011714e-05
R03460    	9.584601e-05
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	6.525334e-04
R03018    	2.256585e-07
R03013    	2.476710e-04
R03012    	2.476710e-04
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	7.802966e-05
R03857    	0
R00512    	0
R03005    	2.532352e-07
R00513    	0
R04463    	4.048063e-04
R04859    	6.011714e-05
R03346    	0
R03348    	2.532352e-07
R04457    	3.385825e-07
R00908    	0
R00502    	0
R01220    	1.056964e-03
R01221    	-3.502366e-04
R00509    	6.011714e-05
R01214    	2.256585e-07
R01230    	2.675194e-04
R01231    	0
R01229    	0
R01228    	-3.669941e-27
R01227    	0
R01226    	2.256585e-07
R00104    	1.194177e-07
R03102    	3.929456e-04
R01446    	0
R90000    	3.462596e-02
R01253    	-5.905404e-04
R90003    	1.256674e-01
R90004    	3.252291e-02
R90001    	6.714890e-02
R90002    	3.357445e-02
R90005    	0
R04224    	2.554105e-27
R04225    	2.567990e-03
R04233    	0
R04231    	0
R03314    	-5.905404e-04
R04230    	2.256585e-07
R90021    	0
R90022    	0
R90020    	0
R05341    	0
R01466    	-1.409709e-31
R01465    	5.611042e-08
R90029    	0
R90027    	0
R90028    	0
R90025    	0
