id	flux
R00396    	-9.996776e+03
R03869    	0
R00782    	0
R02742    	0
R02340    	1.762488e-03
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	1.032129e-06
R05814    	1.032129e-06
R00375    	0
R05811    	1.032129e-06
R05810    	1.032129e-06
R05813    	1.032129e-06
R05812    	1.032129e-06
R00751    	1.196537e-01
R02372    	0
R05617    	5.623764e-07
R01899    	0
R05612    	5.623764e-07
R05613    	5.623764e-07
R00369    	0
R05611    	5.623764e-07
R00362    	-1.207482e-01
R02765    	-2.806826e-01
R00762    	2.202001e-02
R05809    	1.032129e-06
R05808    	1.032129e-06
R00768    	1.908465e-04
R05807    	1.032129e-06
R00771    	-2.182917e-02
R00354    	0
R00355    	9.996836e+03
R02771    	0
R00357    	0
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	2.118791e-26
R01878    	0
R03084    	1.763050e-03
R00086    	2.420334e+01
R00084    	2.815987e-06
R01870    	-7.232059e-03
R01665    	0
R01664    	0
R01867    	7.232059e-03
R01863    	3.839244e-27
R02100    	0
R02331    	0
R02332    	0
R02719    	0
R01655    	1.944243e-02
R01658    	2.871213e-03
R01857    	0
R01858    	0
R02328    	0
R01859    	2.806826e-01
R02327    	0
R02329    	0
R00999    	0
R02519    	5.271968e-02
R02326    	-1.420134e-25
R02325    	0
R00996    	0
R10005    	0
R10004    	0
R10003    	5.623764e-07
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	5.271968e-02
R02313    	4.166781e-02
R04509    	0
R00303    	2.139022e-02
R03045    	0
R03038    	0
R00586    	1.105831e-03
R03243    	4.555811e-03
R00585    	0
R03245    	1.148710e-02
R01168    	0
R06447    	0
R00582    	0
R03035    	4.150900e-06
R03027    	-4.166781e-02
R00578    	3.405189e-03
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	2.715004e-18
R03067    	0
R00570    	1.423513e-25
R00571    	4.917801e-03
R00573    	0
R01698    	5.580526e-01
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	0
R04799    	0
R06613    	7.975059e-05
R02568    	0
R03815    	0
R00552    	0
R02571    	-4.166781e-02
R01196    	7.784924e-01
R01197    	-2.311310e+00
R01199    	4.701853e-02
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	2.081917e-06
R00351    	1.986975e+00
R00548    	0
R03823    	0
R03269    	4.150900e-06
R00332    	4.921948e-03
R03425    	0
R00342    	2.666477e+00
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	4.555811e-03
R03458    	3.114047e-06
R03459    	3.114047e-06
R03660    	0
R03659    	0
R03658    	0
R00529    	1.105831e-03
R03460    	1.763050e-03
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	1.200310e-02
R03018    	4.150900e-06
R03013    	4.555811e-03
R03012    	4.555811e-03
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	1.435325e-03
R03857    	0
R00512    	0
R03005    	4.658164e-06
R00513    	0
R04463    	7.446254e-03
R04859    	1.105831e-03
R03346    	0
R03348    	4.658164e-06
R04457    	6.228093e-06
R00908    	0
R00502    	0
R01220    	1.944243e-02
R01221    	-8.278726e-02
R00509    	1.105831e-03
R01214    	2.637559e-02
R01230    	4.920915e-03
R01231    	0
R01229    	0
R01228    	6.296360e-25
R01227    	0
R01226    	4.150900e-06
R00104    	2.196642e-06
R03102    	4.166781e-02
R01446    	0
R90000    	6.950930e+00
R01253    	-6.762569e-02
R90003    	2.291415e+01
R90004    	3.136821e+00
R90001    	1.323772e+01
R90002    	6.618858e+00
R90005    	0
R04224    	2.637144e-02
R04225    	2.072926e-01
R04233    	0
R04231    	0
R03314    	-6.762569e-02
R04230    	4.150900e-06
R90021    	0
R90022    	0
R90020    	0
R05341    	0
R01466    	0
R01465    	1.032129e-06
R90029    	0
R90027    	0
R90028    	0
R90025    	0
R90026    	0
R90023    	0
R90024    	0
R04095    	2.827208e-01
R04203    	2.072926e-01
R04097    	2.827208e-01
R01286    	0
R90010    	0
R01288    	0
R01287    	0
R90011    	0
R90016    	0
R90017    	0
R90018    	0
R01280    	0
R90019    	0
R04204    	2.072926e-01
R90012    	0
R90013    	0
R90014    	0
R04209    	-7.446254e-03
R04208    	7.446254e-03
R90015    	0
R04212    	0
R01279    	0
R02022    	-1.694721e-04
R00158    	7.232059e-03
R02023    	0
R00156    	7.591254e-03
R02024    	0
R02971    	0
