id	flux
R00396    	-9.999910e+03
R03869    	0
R00782    	0
R02742    	0
R02340    	1.008954e-04
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	5.908532e-08
R05814    	5.908532e-08
R00375    	0
R05811    	5.908532e-08
R05810    	5.908532e-08
R05813    	5.908532e-08
R05812    	5.908532e-08
R00751    	2.987202e-03
R02372    	0
R05617    	3.219382e-08
R01899    	0
R05612    	3.219382e-08
R05613    	3.219382e-08
R00369    	0
R05611    	3.219382e-08
R00362    	-3.049856e-03
R02765    	-7.095590e-03
R00762    	1.260559e-03
R05809    	5.908532e-08
R05808    	5.908532e-08
R00768    	1.092521e-05
R05807    	5.908532e-08
R00771    	-1.249633e-03
R00354    	0
R00355    	9.999919e+03
R02771    	0
R00357    	0
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	0
R01878    	0
R03084    	1.009276e-04
R00086    	6.509586e-01
R00084    	1.612041e-07
R01870    	-4.140068e-04
R01665    	0
R01664    	0
R01867    	4.140068e-04
R01863    	0
R02100    	0
R02331    	0
R02332    	0
R02719    	0
R01655    	1.113002e-03
R01658    	1.643656e-04
R01857    	0
R01858    	0
R02328    	0
R01859    	7.095590e-03
R02327    	0
R02329    	0
R00999    	0
R02519    	1.253036e-03
R02326    	0
R02325    	0
R00996    	0
R10005    	0
R10004    	0
R10003    	3.219382e-08
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	1.253036e-03
R02313    	1.001091e-03
R04509    	0
R00303    	1.224505e-03
R03045    	0
R03038    	0
R00586    	6.330447e-05
R03243    	2.608022e-04
R00585    	0
R03245    	6.575910e-04
R01168    	0
R06447    	0
R00582    	0
R03035    	2.376226e-07
R03027    	-1.001091e-03
R00578    	1.949336e-04
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	0
R03067    	0
R00570    	0
R00571    	2.815247e-04
R00573    	0
R01698    	1.422731e-02
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	0
R04799    	0
R06613    	4.565406e-06
R02568    	0
R03815    	0
R00552    	0
R02571    	-1.001091e-03
R01196    	2.505173e-02
R01197    	-6.230436e-02
R01199    	1.212250e-03
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	1.191815e-07
R00351    	5.497584e-02
R00548    	0
R03823    	0
R03269    	2.376226e-07
R00332    	2.817620e-04
R03425    	0
R00342    	7.189895e-02
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	2.608022e-04
R03458    	1.782669e-07
R03459    	1.782669e-07
R03660    	0
R03659    	0
R03658    	0
R00529    	6.330447e-05
R03460    	1.009276e-04
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	6.871298e-04
R03018    	2.376226e-07
R03013    	2.608022e-04
R03012    	2.608022e-04
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	8.216668e-05
R03857    	0
R00512    	0
R03005    	2.666608e-07
R00513    	0
R04463    	4.262686e-04
R04859    	6.330447e-05
R03346    	0
R03348    	2.666608e-07
R04457    	3.565337e-07
R00908    	0
R00502    	0
R01220    	1.113002e-03
R01221    	-2.144113e-03
R00509    	6.330447e-05
R01214    	4.499583e-04
R01230    	2.817029e-04
R01231    	0
R01229    	0
R01228    	0
R01227    	0
R01226    	2.376226e-07
R00104    	1.257491e-07
R03102    	1.001091e-03
R01446    	0
R90000    	1.909255e-01
R01253    	-1.589847e-03
R90003    	6.277183e-01
R90004    	8.856834e-02
R90001    	3.631165e-01
R90002    	1.815583e-01
R90005    	0
R04224    	4.497207e-04
R04225    	5.433619e-03
R04233    	0
R04231    	0
R03314    	-1.589847e-03
R04230    	2.376226e-07
R90021    	0
R90022    	0
R90020    	0
R05341    	0
R01466    	0
R01465    	5.908532e-08
R90029    	0
R90027    	0
R90028    	0
R90025    	0
R90026    	0
R90023    	0
R90024    	0
R04095    	7.342879e-03
R04203    	5.433619e-03
R04097    	7.342879e-03
R01286    	0
R90010    	0
R01288    	0
R01287    	0
R90011    	0
R90016    	0
R90017    	0
R90018    	0
R01280    	0
R90019    	0
R04204    	5.433619e-03
R90012    	0
R90013    	0
R90014    	0
R04209    	-4.262686e-04
R04208    	4.262686e-04
R90015    	0
R04212    	0
R01279    	0
R02022    	-9.701608e-06
R00158    	4.140068e-04
R02023    	0
R00156    	4.345693e-04
R02024    	0
R02971    	0
R00985    	1.008954e-04
R02020    	-9.701608e-06
R02021    	6.330447e-05
R00986    	0
R01015    	1.443920e-03
R90046    	1.176602e-03
R00705    	0
R90045    	7.835187e-03
R90048    	9.392722e-04
R00704    	0
R00703    	0
R90047    	3.422779e-03
R90049    	1.646083e-03
R00708    	0
R05595    	0
R00707    	0
R00161    	1.191815e-07
R02019    	0
R90040    	1.226641e-03
R00160    	0
R90042    	0
R00702    	0
R02016    	1.551430e-04
R90041    	9.576210e-04
R02018    	4.565406e-06
R90044    	4.061125e-03
R02017    	0
R90043    	5.700699e-03
R00970    	0
R90037    	0
R90036    	4.514457e-03
R90035    	1.104802e-02
R01010    	8.216668e-05
R90039    	0
R90038    	0
R90033    	1.310957e-03
R90032    	6.064071e-04
R00177    	7.091140e-07
R90031    	0
R90030    	0
R00965    	4.140068e-04
R00966    	0
R00963    	0
R00964    	0
R00962    	0
R05180    	0
R05181    	0
R00969    	0
R01036    	0
R01039    	-1.000000e+04
R00967    	0
R00968    	0
R90068    	0
R90067    	0
R05578    	1.289633e-06
R05577    	0
R90069    	4.143345e-04
R90064    	8.216668e-05
R00188    	6.330447e-05
R90063    	-1.443847e-02
R90066    	9.802260e-03
R90065    	0
R90060    	8.362269e-02
R00183    	0
R90062    	0
R90061    	0
R05177    	0
R01818    	0
R00189    	2.666608e-07
R02058    	1.092521e-05
R00959    	-2.512792e-05
R01034    	10000
R00190    	0
R90059    	5.908532e-08
R90058    	0
