id	flux
R00396    	9.999989e+03
R03869    	0
R00782    	0
R02742    	0
R02340    	1.202267e-04
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	7.040590e-08
R05814    	7.040590e-08
R00375    	0
R05811    	7.040590e-08
R05810    	7.040590e-08
R05813    	7.040590e-08
R05812    	7.040590e-08
R00751    	1.606733e-03
R02372    	0
R05617    	3.836207e-08
R01899    	0
R05612    	3.836207e-08
R05613    	3.836207e-08
R00369    	0
R05611    	3.836207e-08
R00362    	-1.681391e-03
R02765    	-3.918817e-03
R00762    	1.502078e-03
R05809    	7.040590e-08
R05808    	7.040590e-08
R00768    	1.301844e-05
R05807    	7.040590e-08
R00771    	-1.489060e-03
R00354    	0
R00355    	-10000
R02771    	0
R00357    	1.498209e-02
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	5.614624e-28
R01878    	0
R03084    	1.202651e-04
R00086    	4.042870e-01
R00084    	1.920904e-07
R01870    	-4.933293e-04
R01665    	0
R01664    	0
R01867    	4.933293e-04
R01863    	5.800920e-25
R02100    	0
R02331    	6.959785e-28
R02332    	0
R02719    	0
R01655    	1.326250e-03
R01658    	1.958575e-04
R01857    	0
R01858    	0
R02328    	0
R01859    	3.918817e-03
R02327    	0
R02329    	0
R00999    	0
R02519    	6.007840e-04
R02326    	0
R02325    	0
R00996    	0
R10005    	0
R10004    	0
R10003    	3.836207e-08
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	6.007840e-04
R02313    	4.930580e-04
R04509    	0
R00303    	1.459117e-03
R03045    	0
R03038    	0
R00586    	7.543343e-05
R03243    	3.107711e-04
R00585    	0
R03245    	7.835836e-04
R01168    	0
R06447    	0
R00582    	0
R03035    	2.831504e-07
R03027    	0
R00578    	2.322823e-04
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	0
R03067    	-3.854078e-29
R00570    	0
R00571    	3.354640e-04
R00573    	0
R01698    	7.994826e-03
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	0
R04799    	0
R06613    	5.440125e-06
R02568    	0
R03815    	0
R00552    	1.875063e-01
R02571    	-4.930580e-04
R01196    	9.822405e-03
R01197    	-2.868313e-02
R01199    	6.965693e-04
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	1.420164e-07
R00351    	2.563240e-02
R00548    	0
R03823    	0
R03269    	2.831504e-07
R00332    	3.357468e-04
R03425    	0
R00342    	3.419370e-02
R00533    	0
R03026    	4.930580e-04
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	3.107711e-04
R03458    	2.124223e-07
R03459    	2.124223e-07
R03660    	0
R03659    	0
R03658    	0
R00529    	7.543343e-05
R03460    	1.202651e-04
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	8.187820e-04
R03018    	2.831504e-07
R03013    	3.107711e-04
R03012    	3.107711e-04
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	9.790959e-05
R03857    	0
R00512    	0
R03005    	3.177522e-07
R00513    	0
R04463    	5.079405e-04
R04859    	7.543343e-05
R03346    	0
R03348    	3.177522e-07
R04457    	4.248446e-07
R00908    	0
R00502    	0
R01220    	1.326250e-03
R01221    	-1.242869e-03
R00509    	7.543343e-05
R01214    	2.831504e-07
R01230    	3.356764e-04
R01231    	0
R01229    	0
R01228    	8.237962e-23
R01227    	0
R01226    	2.831504e-07
R00104    	1.498426e-07
R03102    	4.930580e-04
R01446    	0
R90000    	7.738504e-02
R01253    	-7.409948e-04
R90003    	2.223452e-01
R90004    	3.920210e-02
R90001    	1.165872e-01
R90002    	5.829359e-02
R90005    	0
R04224    	-5.249228e-24
R04225    	3.222247e-03
R04233    	0
R04231    	0
R03314    	-7.409948e-04
R04230    	2.831504e-07
R90021    	0
R90022    	0
R90020    	0
R05341    	0
R01466    	0
R01465    	7.040590e-08
R90029    	0
R90027    	0
R90028    	0
R90025    	0
R90026    	0
R90023    	0
R90024    	0
R04095    	4.279521e-03
R04203    	3.222247e-03
R04097    	4.279521e-03
R01286    	0
R90010    	0
R01288    	0
R01287    	0
R90011    	0
R90016    	0
R90017    	0
R90018    	0
R01280    	0
R90019    	0
R04204    	3.222247e-03
R90012    	0
R90013    	0
R90014    	0
R04209    	-5.079405e-04
R04208    	5.079405e-04
R90015    	0
R04212    	0
R01279    	0
R02022    	-1.156041e-05
R00158    	4.933293e-04
R02023    	0
R00156    	5.178315e-04
R02024    	0
R02971    	0
R00985    	1.202267e-04
R02020    	-1.156041e-05
R02021    	7.543343e-05
R00986    	0
R01015    	1.720571e-03
R90046    	7.307454e-04
R00705    	0
R90045    	4.866153e-03
R90048    	5.833482e-04
R00704    	0
R00703    	0
R90047    	2.125765e-03
R90049    	1.022323e-03
R00708    	0
R05595    	0
R00707    	0
R00161    	1.420164e-07
R02019    	0
R90040    	7.618226e-04
R00160    	0
R90042    	0
R00702    	0
R02016    	1.848679e-04
R90041    	5.947440e-04
R02018    	5.440125e-06
R90044    	2.522219e-03
R02017    	0
R90043    	3.540499e-03
R00970    	0
R90037    	0
R90036    	2.803767e-03
R90035    	6.861531e-03
R01010    	9.790959e-05
R90039    	3.774565e-27
R90038    	-3.507715e-28
R90033    	8.141884e-04
R90032    	3.766176e-04
R00177    	8.449783e-07
R90031    	4.937198e-04
R90030    	0
R00965    	4.933293e-04
R00966    	0
R00963    	0
R00964    	0
R00962    	0
R05180    	0
R05181    	0
R00969    	0
R01036    	0
R01039    	-1.000000e+04
R00967    	0
R00968    	0
R90068    	0
R90067    	0
R05578    	1.536723e-06
R05577    	0
R90069    	0
R90064    	9.790959e-05
R00188    	7.543343e-05
R90063    	-8.198337e-03
R90066    	1.168035e-02
R90065    	0
R90060    	0
R00183    	0
R90062    	1.875063e-01
R90061    	0
R05177    	0
R01818    	0
R00189    	3.177522e-07
R02058    	1.301844e-05
R00959    	-2.994236e-05
R01034    	10000
R00190    	7.247851e-25
R90059    	7.040590e-08
R90058    	0
R90057    	4.205911e-07
R90056    	7.299918e-07
R90055    	1.040738e-04
