klett_time_data	klett_data
37.35070766	2
37.36070766	2
37.37070766	2
37.38070766	2
58.50564359	10
61.15038159	12
64.5975788	15
67.63474173	18
67.64474173	18
73.80994972	25
75.431718	27
77.01449614	30
77.7943499	30
82.37651033	36
90.02681584	46
93.23969137	50
93.24969137	50
97.50657916	55
103.2000723	61
107.5240449	65
111.1711068	68
112.4855937	69
118.4009722	73
123.7937456	76
125.849104	77
136.0752784	81
139.3699685	82
139.3799685	82
143.1193507	83
